Designator,Mid X,Mid Y,Layer,Rotation
U605,125.15785899999999mm,45.41mm,Bottom,270.0
C600,130.732487mm,55.4975mm,Top,0.0
C609,129.30748699999998mm,47.185mm,Top,0.0
C610,122.757487mm,41.787mm,Top,90.0
C611,124.65748699999999mm,56.61mm,Top,0.0
C612,122.757487mm,56.61mm,Top,180.0
C613,127.28248699999999mm,42.685mm,Top,90.0
C614,126.78248699999999mm,56.61mm,Top,180.0
C615,119.98248699999999mm,46.51mm,Top,180.0
C616,124.819987mm,44.835mm,Top,0.0
D600,129.882487mm,65.21000000000001mm,Top,180.0
D601,131.207487mm,52.435mm,Top,270.0
D602,131.207487mm,49.46mm,Top,90.0
D603,120.37748699999999mm,44.92755mm,Top,0.0
Q600,126.65748699999999mm,60.769999999999996mm,Top,180.0
Q601,119.98248699999999mm,60.86mm,Top,270.0
R600,128.832487mm,56.56mm,Top,0.0
R601,130.732487mm,56.56mm,Top,0.0
R617,119.98248699999999mm,55.31mm,Top,180.0
R625,127.307487mm,44.66mm,Top,90.0
R626,130.732487mm,54.435mm,Top,0.0
R627,131.18248699999998mm,47.31mm,Top,0.0
R628,122.757487mm,44.435mm,Top,270.0
U602,124.507487mm,50.96mm,Top,180.0
U603,120.507487mm,42.335mm,Top,0.0
U604,124.98248699999999mm,42.385mm,Top,90.0
R148,100.882497mm,14.009999999999998mm,Bottom,0.0
R142,99.482497mm,13.11mm,Bottom,0.0
U108,83.302297mm,46.201mm,Top,180.0
VD103,80.482497mm,41.615mm,Bottom,90.0
U101,108.53249699999999mm,16.7636mm,Top,90.0
C119,100.882397mm,21.4906mm,Bottom,180.0
R147,91.870897mm,13.6937mm,Bottom,180.0
R146,111.548597mm,15.11mm,Bottom,90.0
R141,98.482497mm,13.11mm,Bottom,0.0
U102,103.425997mm,18.4815mm,Bottom,0.0
R109,103.366197mm,19.0772mm,Top,0.0
R108,106.28249699999999mm,19.466mm,Bottom,0.0
Q103,102.639697mm,17.0132mm,Top,0.0
Q102,98.087497mm,14.410000000000004mm,Top,0.0
Q101,103.809997mm,14.175000000000004mm,Bottom,180.0
Q100,107.182497mm,16.815mm,Bottom,90.0
L100,97.283097mm,32.86mm,Bottom,0.0
F100,95.427497mm,14.181600000000003mm,Bottom,0.0
C120,99.182397mm,33.0105mm,Top,180.0
C107,104.303997mm,16.41mm,Bottom,180.0
C106,104.278997mm,20.7531mm,Bottom,180.0
U110,104.72939699999999mm,22.8051mm,Bottom,90.0
R145,104.690297mm,25.7653mm,Bottom,180.0
R144,104.690297mm,24.8198mm,Bottom,180.0
R143,111.285697mm,36.9788mm,Bottom,90.0
R107,102.568597mm,14.831600000000002mm,Top,180.0
D108,102.929397mm,13.46mm,Top,0.0
U107,81.575997mm,37.0061mm,Bottom,180.0
U106,80.890097mm,23.578200000000002mm,Top,180.0
C134,81.575997mm,38.7424mm,Bottom,180.0
C126,80.587297mm,21.634900000000002mm,Top,0.0
VD102,83.836297mm,41.615mm,Bottom,90.0
VD101,80.482497mm,46.005mm,Bottom,270.0
VD100,83.836297mm,46.005mm,Bottom,270.0
U109,83.302297mm,43.726mm,Top,180.0
U103,106.182497mm,30.385mm,Bottom,90.0
U100,108.582397mm,23.709500000000002mm,Top,270.0
U195,101.382497mm,37.86mm,Top,270.0
U190,87.182497mm,37.86mm,Top,270.0
U185,108.482497mm,37.86mm,Top,270.0
U180,94.282497mm,37.86mm,Top,270.0
S101,92.482797mm,14.5957mm,Top,180.0
S100,81.33599699999999mm,27.71mm,Top,270.0
R140,87.382397mm,43.910000000000004mm,Bottom,180.0
R111,111.182497mm,32.56mm,Bottom,0.0
R112,111.182497mm,31.51mm,Bottom,0.0
R117,111.182497mm,26.26mm,Bottom,0.0
R115,111.182497mm,28.36mm,Bottom,0.0
R116,111.182497mm,27.310000000000002mm,Bottom,0.0
R114,111.182497mm,29.41mm,Bottom,0.0
R113,111.182497mm,30.46mm,Bottom,0.0
R110,111.182497mm,33.61mm,Bottom,0.0
R120,80.86419699999999mm,20.423000000000002mm,Top,180.0
R100,111.48239699999999mm,23.71mm,Bottom,270.0
R258,90.724797mm,44.4151mm,Bottom,90.0
R255,111.53249699999999mm,46.31mm,Bottom,90.0
R256,89.782497mm,41.71mm,Bottom,270.0
R254,111.632497mm,43.86mm,Top,90.0
R245,94.082397mm,45.36mm,Bottom,180.0
R227,98.882497mm,45.36mm,Bottom,180.0
R200,108.48239699999999mm,45.36mm,Bottom,180.0
R197,101.382397mm,36.510000000000005mm,Bottom,0.0
R196,101.382497mm,39.31mm,Bottom,180.0
R195,98.532397mm,39.81mm,Bottom,90.0
R191,87.282497mm,36.510000000000005mm,Bottom,0.0
R190,87.282497mm,39.31mm,Bottom,180.0
R186,108.482497mm,36.510000000000005mm,Bottom,0.0
R185,108.482497mm,39.31mm,Bottom,180.0
R181,94.282497mm,36.510000000000005mm,Bottom,0.0
R180,94.282497mm,39.31mm,Bottom,180.0
R139,86.182497mm,46.410000000000004mm,Top,90.0
R138,87.382497mm,46.410000000000004mm,Top,90.0
R137,88.58249699999999mm,46.410000000000004mm,Top,90.0
R136,89.782497mm,46.410000000000004mm,Top,90.0
R135,86.182497mm,45.410000000000004mm,Top,270.0
R132,87.382497mm,45.410000000000004mm,Top,270.0
R126,88.58249699999999mm,45.410000000000004mm,Top,270.0
R124,89.782497mm,45.410000000000004mm,Top,270.0
R119,110.582497mm,32.510000000000005mm,Top,270.0
R118,110.582497mm,28.41mm,Top,270.0
R253,92.182497mm,46.410000000000004mm,Top,270.0
R252,93.382497mm,46.410000000000004mm,Top,270.0
R251,94.58249699999999mm,46.410000000000004mm,Top,270.0
R250,95.782497mm,46.410000000000004mm,Top,270.0
R249,92.182497mm,45.410000000000004mm,Top,90.0
R248,93.382497mm,45.410000000000004mm,Top,90.0
R247,94.58249699999999mm,45.410000000000004mm,Top,90.0
R246,95.782497mm,45.410000000000004mm,Top,90.0
R235,96.982497mm,46.410000000000004mm,Top,270.0
R234,98.182497mm,46.410000000000004mm,Top,270.0
R233,99.382497mm,46.410000000000004mm,Top,270.0
R232,100.582497mm,46.410000000000004mm,Top,270.0
R231,96.982497mm,45.410000000000004mm,Top,90.0
R230,98.182497mm,45.410000000000004mm,Top,90.0
R229,99.382497mm,45.410000000000004mm,Top,90.0
R228,100.582497mm,45.410000000000004mm,Top,90.0
R226,101.78249699999999mm,46.410000000000004mm,Top,90.0
R225,102.982497mm,46.410000000000004mm,Top,90.0
R224,104.182497mm,46.410000000000004mm,Top,90.0
R223,105.382497mm,46.410000000000004mm,Top,90.0
R222,101.78249699999999mm,45.410000000000004mm,Top,270.0
R221,102.982497mm,45.410000000000004mm,Top,270.0
R220,104.182497mm,45.410000000000004mm,Top,270.0
R219,105.382497mm,45.410000000000004mm,Top,270.0
R218,103.682497mm,45.36mm,Bottom,180.0
R208,106.582497mm,46.410000000000004mm,Top,90.0
R207,107.78249699999999mm,46.410000000000004mm,Top,90.0
R206,108.982497mm,46.410000000000004mm,Top,90.0
R205,110.182497mm,46.410000000000004mm,Top,90.0
R204,106.582497mm,45.410000000000004mm,Top,270.0
R203,107.78249699999999mm,45.410000000000004mm,Top,270.0
R202,108.982497mm,45.410000000000004mm,Top,270.0
R201,110.182497mm,45.410000000000004mm,Top,270.0
P106,89.282497mm,34.46mm,Top,90.0
P105,96.902497mm,34.46mm,Top,90.0
P104,92.89249699999999mm,34.46mm,Top,90.0
P201,90.932497mm,45.910000000000004mm,Top,270.0
P200,111.482497mm,47.410000000000004mm,Top,270.0
J100,85.732497mm,24.61mm,Bottom,270.0
D100,108.082497mm,24.4177mm,Bottom,0.0
D205,81.485997mm,39.1536mm,Top,270.0
D206,93.982497mm,42.61mm,Top,0.0
D203,98.78249699999999mm,42.61mm,Top,0.0
D200,108.382497mm,42.61mm,Top,0.0
D116,107.046397mm,33.810500000000005mm,Top,0.0
D115,102.808097mm,33.810500000000005mm,Top,0.0
D114,107.046397mm,31.877100000000002mm,Top,0.0
D113,102.808097mm,31.877100000000002mm,Top,0.0
D112,107.046397mm,29.9438mm,Top,0.0
D111,102.808097mm,29.9438mm,Top,0.0
D110,107.046397mm,28.0105mm,Top,0.0
D109,102.929397mm,27.871100000000002mm,Top,0.0
D202,103.582497mm,42.61mm,Top,0.0
C143,89.782497mm,43.51mm,Top,90.0
C144,88.58249699999999mm,43.51mm,Top,270.0
C145,87.382497mm,43.51mm,Top,90.0
C146,86.182497mm,43.51mm,Top,90.0
C112,100.870297mm,34.124700000000004mm,Bottom,180.0
C111,111.182497mm,34.61mm,Bottom,0.0
C123,85.58249699999999mm,15.985mm,Bottom,180.0
C105,107.382497mm,22.21mm,Bottom,180.0
C100,109.95499699999999mm,22.21mm,Bottom,0.0
C229,89.782497mm,44.4151mm,Bottom,270.0
C224,111.632497mm,45.81mm,Top,270.0
C223,111.632497mm,41.56mm,Top,270.0
C222,111.582497mm,44.51mm,Bottom,90.0
C221,91.359797mm,41.7372mm,Top,90.0
C220,91.467197mm,41.71mm,Bottom,90.0
C225,95.98239699999999mm,42.660000000000004mm,Bottom,90.0
C226,94.882497mm,42.660000000000004mm,Bottom,90.0
C227,92.73239699999999mm,42.660000000000004mm,Bottom,90.0
C228,91.667197mm,45.4151mm,Bottom,270.0
C212,100.782397mm,42.660000000000004mm,Bottom,90.0
C213,99.682497mm,42.660000000000004mm,Bottom,90.0
C214,97.532397mm,42.660000000000004mm,Bottom,90.0
C215,96.488097mm,45.4151mm,Bottom,270.0
C200,110.382397mm,42.660000000000004mm,Bottom,90.0
C201,109.28249699999999mm,42.660000000000004mm,Bottom,90.0
C202,107.132397mm,42.660000000000004mm,Bottom,90.0
C203,106.09199699999999mm,45.4151mm,Bottom,270.0
C195,98.532397mm,37.21mm,Bottom,90.0
C190,84.432497mm,37.36mm,Bottom,90.0
C185,105.632497mm,37.21mm,Bottom,90.0
C180,91.432497mm,37.21mm,Bottom,90.0
C142,86.182497mm,46.410000000000004mm,Bottom,90.0
C141,87.382497mm,46.410000000000004mm,Bottom,90.0
C139,88.582397mm,46.410000000000004mm,Bottom,270.0
C135,89.782497mm,46.410000000000004mm,Bottom,90.0
C211,101.274397mm,45.4151mm,Bottom,270.0
C210,102.332397mm,42.660000000000004mm,Bottom,90.0
C209,104.482497mm,42.660000000000004mm,Bottom,90.0
C208,105.582397mm,42.660000000000004mm,Bottom,90.0
C147,94.83249699999999mm,29.0013mm,Bottom,0.0
F101,109.882497mm,15.812800000000003mm,Bottom,270.0
R134,100.632497mm,16.310000000000002mm,Bottom,180.0
R133,100.632497mm,15.134999999999998mm,Bottom,180.0
C133,100.482497mm,18.42mm,Bottom,270.0
R131,93.686497mm,33.0662mm,Bottom,0.0
R130,100.382397mm,27.885mm,Bottom,270.0
R129,100.382397mm,31.76mm,Bottom,270.0
Y101,98.095097mm,19.9926mm,Bottom,180.0
C116,97.153897mm,21.4814mm,Bottom,0.0
C115,99.018097mm,21.4677mm,Bottom,180.0
C124,94.83249699999999mm,30.1411mm,Bottom,180.0
R121,85.157097mm,13.633000000000003mm,Bottom,0.0
R106,91.33249699999999mm,15.485mm,Bottom,180.0
J101,85.982497mm,14.759999999999998mm,Top,0.0
C108,98.882497mm,18.41mm,Bottom,180.0
R105,80.933397mm,31.0289mm,Top,180.0
R104,81.133397mm,32.218900000000005mm,Top,180.0
R103,80.933397mm,33.328900000000004mm,Top,180.0
R125,80.382497mm,44.89mm,Top,90.0
C104,106.53249699999999mm,13.810000000000002mm,Bottom,270.0
C137,99.187297mm,34.1015mm,Top,180.0
D101,109.752997mm,19.5655mm,Bottom,0.0
C101,82.790897mm,13.633000000000003mm,Bottom,0.0
R102,110.95499699999999mm,21.1355mm,Bottom,0.0
R101,100.382397mm,24.01mm,Bottom,90.0
D102,81.08249699999999mm,15.009999999999998mm,Top,270.0
Y102,95.43869699999999mm,25.023500000000002mm,Bottom,270.0
R122,81.08249699999999mm,35.21mm,Bottom,180.0
R123,83.372697mm,37.2341mm,Bottom,90.0
R127,95.282497mm,19.310000000000002mm,Bottom,0.0
R128,91.604697mm,33.0662mm,Bottom,0.0
D106,102.929397mm,20.4451mm,Top,0.0
D105,102.929397mm,22.2451mm,Top,0.0
D107,96.777497mm,16.7205mm,Bottom,0.0
D104,102.929397mm,24.0451mm,Top,0.0
D103,102.929397mm,25.845100000000002mm,Top,0.0
C140,95.282497mm,20.41mm,Bottom,180.0
C132,97.714997mm,24.0349mm,Bottom,270.0
C136,97.714997mm,26.1101mm,Bottom,90.0
C127,87.08249699999999mm,33.0662mm,Bottom,180.0
C138,111.548597mm,17.0378mm,Bottom,270.0
C130,97.064997mm,31.1565mm,Bottom,180.0
C131,87.08249699999999mm,34.21mm,Bottom,180.0
C122,97.064997mm,29.0013mm,Bottom,0.0
C114,81.214197mm,19.21mm,Top,180.0
C103,107.582497mm,13.810000000000002mm,Bottom,270.0
C113,81.214197mm,18.01mm,Top,0.0
C102,107.382497mm,21.1355mm,Bottom,0.0
U105,91.673097mm,25.16mm,Top,90.0
R430,68.357487mm,52.734998mm,Top,90.0
C431,64.907487mm,45.084998mm,Top,270.0
C430,64.907487mm,48.784998mm,Top,90.0
U430,68.157487mm,47.464998mm,Top,0.0
D430,65.937487mm,52.734998mm,Top,0.0
